"仕様No.","仕様項目名","選択肢（|区切り）","表示順","備考"
"1","型式","SRC350-M2-3X-F|SRC350-M2-3X-R|SRC350-M2-3X-S|SRC350-M2-4X-F|SRC350-M2-4X-R|SRC350-M2-4X-S|SRC350-M2-5X-C|SRC350-M2-5X-F|SRC350-M2-5X-R|SRC350-M2-5X-S|SRC350-M3-5X-F|SRC350-M3-5X-R|SRC350-M3-5X-S|SRC600|その他","1",""
"2","Cleaning veh. CE対応","YY:必要|ZZ:不要|01:対象外|X1:その他","2","参照: MW01"
"3","レイアウト","01:CW|02:CCW|X1:その他","3","参照: MW02"
"4","旧機種との混在走行可能","YY:有|ZZ:無|X1:その他","4","参照: MW03"
"5","M1との混在走行","ZZ:無|YY:有(M1)|X1:その他","5","参照: MW04"
"6","M2との混在走行","ZZ:無|YY:有(M2)|X1:その他","6","参照: MW05"
"7","搬送物","01:FOUP|02:Reticle(SRSP150)|03:Reticle(薄型フランジ)|04:EUV-Reticle|05:RSP200|06:Multi Reticle (MRSP)|07:Side Flange SMIF|08:Top Flange SMIF|09:Frame Carrier|10:Frame Casette|11:Quarter PANEL|12:Open Cassette(PFA)|13:Open Cassette(CR300U)|14:PBN Cassette|15:E99 BOX (8-inch)|16:HA200 (8-inch)|17:TCB150 (6-inch)|18:Probe Card □112|19:Probe Card □92|20:Stack Magazine(Belt Magazine)|21:Slot Cassette(Wafer Cassette)|22:Wet Box|X1:その他|XX:都度選定|23:HA200 + TCB150 (両搬送)|24:Top Flange SMIF with ergo handle|25:FOUP(ダイニチ製含む)","7","参照: MW06"
"8","搬送物・最大重量","10:～10 kg|13:～13 kg|16:～16kg|20:～20 kg|30:～30 kg|99:30 kg ～|X1:その他","8","参照: MW07"
"9","キャリアチャック場所(HAND)","01:Top Flange|02:Side Flange|X1:その他","9","参照: MW08"
"10","キャリア上面にPVCシート","ZZ:無|YY:有|99:対象外|X1:その他","10","参照: MW09"
"11","振動要求","01:P-P 3.0G（MicroStone)|02:1.0 G以下（MicroStone）|03:0.35 G以下（GetControl)|04:0.7 G以下（MicroStone)|05:0.25 G以下（GetControl)|06:0.8G以下 (AVS)フィルタ無|X1:その他","11","参照: MW0A"
"12","350軌道⇔330軌道に走行改造","ZZ:無|01:改造可能|02:対象外|X1:その他","12","参照: MW0B"
"13","直動ガイド","01:IKO|02:THK|03:HIWIN|X1:その他","13","参照: MW0C"
