"ユニットNo.","ユニット名","表示順","備考"
"100","DRIVE GEAR BOX (350X)","1",""
"111","STEERING UNIT(R)","2",""
"110","STEERING UNIT(F)","3",""
"120","CORE UNIT (350X)","4",""
"131","DIVERGE UNIT(R)(350X)","5",""
"130","DIVERGE UNIT(F)(350X)","6",""
"200","HOIST GEAR BOX(350X)","7",""
"210","HOIST BASE UNIT(350X)","8",""
"220","HOIST DRUM UNIT(350X)","9",""
"230","HOIST SENSOR UNIT(350X)","10",""
"300","CENTER FRAME","11",""
"310","FRONT FRAME","12",""
"320","REAR FRAME","13",""
"350","FEEDER UNIT","14",""
"360","LAN UNIT(350X)","15",""
"370","E-84関係","16",""
"400","THETA UNIT(350X)","17",""
"420","LATERAL UNIT(350X)","18",""
"421","LATERAL GEAR BOX (350X)","19",""
"500","CRADLE(350X)","20",""
"600","HAND(350X)","21",""
"700","COVER","22",""
"710","HAZARD LABEL","23",""
"900","CARRY WAGON(SRC350)","24",""
"140","CLEANING NOZZLE UNIT","25",""
"390","CLEANER UNIT","26",""
"720","LOGO STICKER(客先)","27",""
